Signal Name,Memory Address,Signal Description,VCU's Logged,,JSON,,Type,Format,Description
MSV_Xs_TrnRnDstTot,2e49278L,Train Run distance,"82,88",,"""2e49278L,""",2E49278L,Value,32 bit signed int,Odometer
@.MWT.R_T3_1.RCV_S_ThisCabAct,2e4adec,This Cab Active,"82,88",,"""2e4adec,""",2E4ADEC,Status Flag,boolean,
@.MWT.S_ATC_T4_1.SSV_X_AtpWrstFwLocSegId,2e5485aW,ATP worst case forward location,"82,88",,"""2e5485aW,""",2E5485AW,Value,16 bit signed int,Which segment train is in - see attached map
@.MWT.S_ATC_T4_1.SSV_X_AtpWrstFwLocOffs,2e54858W,ATP worst case forward location Offset,"82,88",,"""2e54858W,""",2E54858W,Value,16 bit signed int,How far train is into segment
@.MWT.M_T3_1.MRV_TrnSpd_1.MRV_Xv_Trn,2e491eeW,Train Speed,"82,88",,"""2e491eeW,""",2E491EEW,Value,16 bit signed int,
@.MWT.CT_CI_T2_1.CI_COP_XU_Ln,2e4414aW,Line Voltage,"82,84,86,88",,"""2e4414aW,""",2E4414AW,Value,16 bit signed int,
@.MWT.CT_CI_T2_1.CI_COP_XI_Ln,2e4414cW,Line Current,"82,84,86,88",,"""2e4414cW,""",2E4414CW,Value,16 bit signed int,
@.MWT.H_T2_1.DX54_Out2_C_HscbCl,2e44cb0,HSCB Close,"82,84,86,88",,"""2e44cb0,""",2E44CB0,Status Flag,boolean,High speed circuit breaker
@.MWT.H_T3_1.HCV_C_CopHscbOp,2e48698,Order HSCB to open from COP,"82,84,86,88",,"""2e48698,""",2E48698,Status Flag,boolean,Cut out position
@.MWT.CT_CI_T3_1.CI_COP_S_CopOk,2e46508,COP is OK for supervision,"82,84,86,88",,"""2e46508,""",2E46508,Status Flag,boolean,
@.MWT.CT_CI_T3_1.DI13_In5_S_McsDrvMdFw,2e4645a,MCS Driving Mode Forward,"82,88",,"""2e4645a,""",2E4645A,Status Flag,boolean,Master control switch
@.MWT.CT_CI_T3_1.DI13_In4_S_McsDrvMdInter,2e46459,MCS Driving Mode Inter,"82,88",,"""2e46459,""",2E46459,Status Flag,boolean,
